Value,week_ending,country_code,statisticcat_desc,county_code,state_ansi,source_desc,end_code,prodn_practice_desc,sector_desc,location_desc,agg_level_desc,congr_district_code,unit_desc,watershed_desc,state_fips_code,state_alpha,country_name,domain_desc,asd_code,domaincat_desc,reference_period_desc,class_desc,region_desc,year,zip_5,county_name,state_name,begin_code,group_desc,watershed_code,county_ansi,freq_desc,util_practice_desc,asd_desc,commodity_desc,load_time,short_desc,CV (%)
36.9,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - MAY FORECAST,WINTER,,1991,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
39.3,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
37,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,ALL CLASSES,,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
35.4,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUL FORECAST,ALL CLASSES,,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
38.2,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - SEP FORECAST,ALL CLASSES,,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
41.8,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
36.1,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,"SPRING, (EXCL DURUM)",,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
32.3,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUL FORECAST,"SPRING, (EXCL DURUM)",,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
39.7,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - SEP FORECAST,"SPRING, (EXCL DURUM)",,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
39.7,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
33.5,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,"SPRING, DURUM",,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
30.6,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUL FORECAST,"SPRING, DURUM",,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
36.3,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - SEP FORECAST,"SPRING, DURUM",,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
38.2,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
37.6,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,WINTER,,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
37,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUL FORECAST,WINTER,,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
35.9,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUN FORECAST,WINTER,,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
37.3,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - MAY FORECAST,WINTER,,1992,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
38.2,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
40,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,ALL CLASSES,,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
40.5,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUL FORECAST,ALL CLASSES,,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
39,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - SEP FORECAST,ALL CLASSES,,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
33.7,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
39,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,"SPRING, (EXCL DURUM)",,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
39.4,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUL FORECAST,"SPRING, (EXCL DURUM)",,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
35.7,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - SEP FORECAST,"SPRING, (EXCL DURUM)",,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
33.6,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
37.8,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,"SPRING, DURUM",,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
37.8,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUL FORECAST,"SPRING, DURUM",,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
35.9,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - SEP FORECAST,"SPRING, DURUM",,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
40.2,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
40.5,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,WINTER,,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
41,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUL FORECAST,WINTER,,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
41.2,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUN FORECAST,WINTER,,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
40.8,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - MAY FORECAST,WINTER,,1993,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
37.6,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
38.5,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,ALL CLASSES,,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
39,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUL FORECAST,ALL CLASSES,,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
39.1,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - SEP FORECAST,ALL CLASSES,,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
31.8,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
34.6,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,"SPRING, (EXCL DURUM)",,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
37,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUL FORECAST,"SPRING, (EXCL DURUM)",,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
33.3,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - SEP FORECAST,"SPRING, (EXCL DURUM)",,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
35.6,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
37.1,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,"SPRING, DURUM",,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
38.3,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUL FORECAST,"SPRING, DURUM",,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
37,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - SEP FORECAST,"SPRING, DURUM",,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
40.2,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
40.3,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,WINTER,,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
40,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUL FORECAST,WINTER,,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
39.7,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUN FORECAST,WINTER,,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
39.3,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - MAY FORECAST,WINTER,,1994,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
35.8,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1995,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
36.6,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,ALL CLASSES,,1995,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
35.9,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUL FORECAST,ALL CLASSES,,1995,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
35.9,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - SEP FORECAST,ALL CLASSES,,1995,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
32.2,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1995,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
34.4,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,"SPRING, (EXCL DURUM)",,1995,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
33.2,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR - JUL FORECAST,"SPRING, (EXCL DURUM)",,1995,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
